Model Free Analysis Results for 08/05/13:56

Experiemental dataset: DPPC-5pctPG_Avanti-100nm.dat
Simulated dataset: Electron_Density_From_Simulation.dat

------------------------------------------------

Fit Statistics

"[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 7
    # data points      = 466
    # variables        = 2
    chi-square         = 0.03724589
    reduced chi-square = 8.0271e-05
    Akaike info crit   = -4392.43012
    Bayesian info crit = -4384.14175
[[Variables]]
    k:  7.2718e-06 +/- 5.9514e-07 (8.18%) (init = 1)
    c:  0.01417123 +/- 6.1073e-04 (4.31%) (init = 0)
[[Correlations]] (unreported correlations are < 0.100)
    C(k, c) = -0.734"

------------------------------------------------

Fit Data:

q,i
0.00945749,-0.01290760482284456
0.0108925,-0.012962478194734013
0.0123275,-0.0134176797043829
0.0137625,-0.013063627715608397
0.0151975,-0.013546279170515515
0.0166325,-0.013373406444283415
0.0180675,-0.013309637725053024
0.0195025,-0.013494845161711616
0.0209375,-0.013544452684008248
0.0223725,-0.014139771671908634
0.0238075,-0.01321058015064103
0.0252425,-0.013594325560668152
0.0266775,-0.014255178840064792
0.0281125,-0.012630978027535149
0.0295475,-0.01303858237263403
0.0309824,-0.011739565979241237
0.0324174,-0.01212203410280048
0.0338524,-0.011168081425846906
0.0352874,-0.012062412893094142
0.0367224,-0.011248978769771718
0.0381574,-0.011573499548120009
0.0395924,-0.010759269522480732
0.0410274,-0.010614098659340829
0.0424624,-0.009957714297335846
0.0438974,-0.010362662779803388
0.0453324,-0.010246979395616815
0.0467674,-0.010068535419094308
0.0482024,-0.0094423166571396
0.0496374,-0.009755134692117664
0.0510724,-0.00892391506989032
0.0525074,-0.00907768528048929
0.0539424,-0.008112658309363375
0.0553774,-0.008384340534473211
0.0568124,-0.00799102008366163
0.0582474,-0.007347073944879783
0.0596824,-0.007523225691138226
0.0611174,-0.007317286987830612
0.0625524,-0.007240396690554667
0.0639874,-0.006655463583978708
0.0654224,-0.006263439188470957
0.0668574,-0.006223942942799026
0.0682924,-0.006212838988861772
0.0697274,-0.005813552948577137
0.0711624,-0.0054557512435003275
0.0725974,-0.005016030511818339
0.0740324,-0.004794412872223097
0.0754674,-0.004122256437670252
0.0769024,-0.004213086822918596
0.0783374,-0.004073125625411053
0.0797724,-0.0034564142134408914
0.0812074,-0.0035192571502504696
0.0826424,-0.0027908483950765846
0.0840774,-0.0028568972088176547
0.0855123,-0.0025674884409764218
0.0869473,-0.002100932659925399
0.0883823,-0.0019057092141816744
0.0898173,-0.002004559240606694
0.0912523,-0.0010631712162994973
0.0926873,-0.0011363269919581857
0.0941223,-0.0010714420016196512
0.0955573,-0.000821433388484262
