Model Free Analysis Results for 08/05/13:13

Experiemental dataset: DPPC-5pctPG_Avanti-100nm.dat
Simulated dataset: Electron_Density_From_Simulation.dat

------------------------------------------------

Fit Statistics

"[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 69
    # data points      = 466
    # variables        = 2
    chi-square         = 60727.9689
    reduced chi-square = 130.879243
    Akaike info crit   = 2273.40789
    Bayesian info crit = 2281.69626
[[Variables]]
    k: -34080.4289 +/- 34.6177946 (0.10%) (init = 1)
    c:  9710503.51 +/- 9863.61461 (0.10%) (init = 0)
[[Correlations]] (unreported correlations are < 0.100)
    C(k, c) = -1.000"

------------------------------------------------

Fit Data:

q,i
0.00945749,0.06556214746890461
0.0108925,0.2523080741756301
0.0123275,0.5134787317928781
0.0137625,0.6788037969254412
0.0151975,1.5026154774027451
0.0166325,1.0286647196985763
0.0180675,1.5119868767586409
0.0195025,7.674603938919819
0.0209375,2.124329452238437
0.0223725,5.447142251409458
0.0238075,2.3326096622920898
0.0252425,2.8099356794326065
0.0266775,3.0055135689777277
0.0281125,2.5116271777398147
0.0295475,3.38167394025993
0.0309824,4.2520319485513705
0.0324174,7.256798565048976
0.0338524,6.973951228243259
0.0352874,8.251615843541959
0.0367224,5.322648567437658
0.0381574,13.362598139572295
0.0395924,3.333379516256209
0.0410274,5.883425682199708
0.0424624,4.964168746489939
0.0438974,5.551803506912972
0.0453324,3.8250901648089464
0.0467674,6.119603570579858
0.0482024,5.328407891069534
0.0496374,3.645971071244519
0.0510724,6.310960769683372
0.0525074,4.3451787391900085
0.0539424,4.215616161327158
0.0553774,2.4335039676332006
0.0568124,3.2806948585503584
0.0582474,3.649535689183682
0.0596824,1.6556243655640444
0.0611174,1.0962059586925947
0.0625524,1.6793351743160758
0.0639874,0.9013896617701916
0.0654224,1.4792854298571094
0.0668574,2.4293319076063407
0.0682924,1.0066804860289202
0.0697274,0.6315002692169261
0.0711624,0.7567300022681245
0.0725974,0.6598286601059601
0.0740324,0.28575864421418595
0.0754674,0.07486098666235072
0.0769024,0.16254902410740993
0.0783374,0.03916492405119509
0.0797724,1.0244891862555446e-05
0.0812074,0.0017812502657936075
0.0826424,0.10472713081862793
0.0840774,0.0803190084975926
0.0855123,0.24292488644442542
0.0869473,0.6688641857090027
0.0883823,0.9577824893803616
0.0898173,0.4618112779275568
0.0912523,1.217149885863464
0.0926873,1.476788261104951
0.0941223,0.9379133133025689
0.0955573,1.5657600763648876
0.0969923,2.3161827360613487
0.0984273,3.0434950565400354
0.0998623,3.381921792449601
0.101297,3.6221938918330707
0.102732,3.2290362910665125
0.104167,2.2593174418064543
0.105602,6.031807713403189
0.107037,6.058707905434358
0.108472,5.587630110214049
0.109907,6.6070767821856355
0.111342,5.801595341685863
0.112777,5.959937368949619
0.114212,8.263238315895114
0.115647,11.647777228219663
0.117082,6.014346224403358
0.118517,13.14394602807038
0.119952,11.276074585140327
0.121387,12.00988771232247
0.122822,9.304405300047634
0.124257,8.392471831103125
0.125692,13.745921230666562
0.127127,16.801804511765646
0.128562,20.158398618610946
0.129997,12.804061831162572
0.131432,11.304712788218472
0.132867,12.915975945922964
0.134302,20.335215712086075
0.135737,33.20961235476078
0.137172,21.667609992835704
0.138607,10.677466977430447
0.140042,13.582662072280353
0.141477,17.125933615694716
0.142912,33.85030488229147
0.144347,32.4771939321126
0.145782,14.367461898930928
0.147217,19.03539211532211
0.148652,14.274001607773023
0.150087,19.06597986616439
0.151522,57.89084499529401
0.152957,26.787252720190892
0.154392,19.97199787615845
0.155827,21.4219664170442
0.157262,36.817685321172966
0.158697,14.385807867210895
0.160132,23.628002941940697
0.161567,16.713466370291417
0.163002,15.074968492512758
0.164437,12.441120265456512
0.165872,15.748031998626127
0.167307,21.155325680669325
0.168742,11.33125661485807
0.170177,27.53824197591831
0.171612,23.579042398512332
0.173047,24.48282451626668
0.174482,18.543994625331337
0.175917,7.199555207487833
0.177352,36.53435483187864
0.178787,12.848547724306787
0.180222,13.522696432612593
0.181657,16.463058612974628
0.183092,8.462252721070366
0.184527,11.899707691500142
0.185962,13.480342775034872
0.187397,10.195101250696613
0.188832,9.837194324575274
0.190267,12.498081642120333
0.191702,14.605838358959
0.193137,16.655902038590536
0.194572,12.380040864429853
0.196007,14.595622840797704
0.197442,3.1723316963844663
0.198877,4.250998906998238
0.200312,8.781788133054226
0.201747,8.857464158622532
0.203182,13.943774830134572
0.204617,5.91407990975224
0.206052,11.061898347193772
0.207487,4.3908545442425195
0.208922,2.4398098097645122
0.210357,4.94067561892515
0.211792,3.4300447485221044
0.213227,2.575947312913398
0.214662,3.1523976441056414
0.216097,1.2334428497900523
0.217532,2.3233371661468127
0.218967,1.9364630783548047
0.220402,1.2543525797790516
0.221837,0.3623858743148676
0.223272,0.4936614716543539
0.224707,1.2698935814523653
0.226142,0.9346871818501914
0.227577,0.03278481184185106
