-4.84853 328.645
-4.75058 329.2
-4.65263 329.337
-4.55468 328.906
-4.45673 328.87
-4.35878 329.348
-4.26083 328.708
-4.16288 328.928
-4.06493 329.094
-3.96698 328.997
-3.86903 328.69
-3.77108 328.951
-3.67313 329.126
-3.57518 328.837
-3.47723 329.085
-3.37928 328.962
-3.28133 328.739
-3.18338 329.234
-3.08543 329.206
-2.98748 329.456
-2.88953 329.251
-2.79158 330.229
-2.69363 330.873
-2.59568 333.105
-2.49773 338.307
-2.39978 346.471
-2.30183 361.67
-2.20388 381.833
-2.10593 404.551
-2.00798 423.849
-1.91003 435.61
-1.81208 435.239
-1.71413 427.069
-1.61618 414.108
-1.51823 395.72
-1.42028 372.975
-1.32233 348.794
-1.22438 326.681
-1.12643 309.311
-1.02848 297.842
-0.930525 290.725
-0.832575 286.778
-0.734625 283.657
-0.636675 279.355
-0.538725 275.23
-0.440775 268.892
-0.342825 259.777
-0.244875 248.914
-0.146925 237.145
-0.048975 231.243
0.048975 231.206
0.146925 238.663
0.244875 249.292
0.342825 259.881
0.440775 268.743
0.538725 274.848
0.636675 279.817
0.734625 283.416
0.832575 286.901
0.930525 290.937
1.02848 297.379
1.12643 308.801
1.22438 326.925
1.32233 349.446
1.42028 373.819
1.51823 394.859
1.61618 412.89
1.71413 427.443
1.81208 436.213
1.91003 435.909
2.00798 424.03
2.10593 403.728
2.20388 381.018
2.30183 361.569
2.39978 346.772
2.49773 338.379
2.59568 333.676
2.69363 331.547
2.79158 329.613
2.88953 329.891
2.98748 329.426
3.08543 329.228
3.18338 329.096
3.28133 329.051
3.37928 329.205
3.47723 329.528
3.57518 329.015
3.67313 328.554
3.77108 329.806
3.86903 328.29
3.96698 329.723
4.06493 328.789
4.16288 329.005
4.26083 328.61
4.35878 329.725
4.45673 328.404
4.55468 328.713
4.65263 329.414
4.75058 328.767
4.84853 329.14
