Model Free Analysis Results for 08/05/14:46

Experiemental dataset: DPPC-5pctPG_Avanti-100nm.dat
Simulated dataset: Electron_Density_From_Simulation.dat

------------------------------------------------

Fit Statistics

"[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 91
    # data points      = 466
    # variables        = 2
    chi-square         = 23330.8862
    reduced chi-square = 50.2820823
    Akaike info crit   = 1827.62004
    Bayesian info crit = 1835.90841
##  Warning: uncertainties could not be estimated:
[[Variables]]
    k:  1.4320e-05 (init = 1)
    c:  0.00000000 (init = 0)"

------------------------------------------------

Fit Data:

q,i
0.00945749,0.24858779680032952
0.0108925,0.5268303865540751
0.0123275,1.170966405703649
0.0137625,0.48982527671889436
0.0151975,1.449532262790911
0.0166325,0.46423314594039344
0.0180675,0.3522842779676737
0.0195025,1.6997479471850734
0.0209375,0.33361039838977224
0.0223725,2.589166835647982
0.0238075,0.008586279548689974
0.0252425,0.10002331092114396
0.0266775,1.4773278110045407
0.0281125,0.3740726813857861
0.0295475,0.28056091512381476
0.0309824,3.0105638097017478
0.0324174,3.977184100112988
0.0338524,8.746191305734945
0.0352874,4.256617395023101
0.0367224,4.294081768013064
0.0381574,6.388596419647536
0.0395924,2.8007334315693138
0.0410274,4.666502838176273
0.0424624,6.035270570106479
0.0438974,3.7909792584537465
0.0453324,2.393963721195079
0.0467674,3.7561551051318864
0.0482024,5.2003345317508165
0.0496374,2.0501343997339
0.0510724,7.211002482996437
0.0525074,3.4569292559500853
0.0539424,7.664463960652764
0.0553774,2.808839924428204
0.0568124,4.820605963763778
0.0582474,8.862604735575745
0.0596824,2.8421688329335426
0.0611174,1.9901646792238834
0.0625524,2.7840549010145033
0.0639874,2.5069163524534064
0.0654224,5.591903004862619
0.0668574,8.385103790231046
0.0682924,3.0325962287678805
0.0697274,2.809336946462725
0.0711624,4.900327945829918
0.0725974,7.440091215209492
0.0740324,4.392794386053361
0.0754674,4.0665211866999496
0.0769024,8.574215773475322
0.0783374,3.8894655103112683
0.0797724,7.903988989288742
0.0812074,3.398170588031681
0.0826424,7.945589078433138
0.0840774,3.3652786506848007
0.0855123,5.19984223457519
0.0869473,8.676890869255171
0.0883823,8.428030406971242
0.0898173,2.6885917605810463
0.0912523,6.300183168662791
0.0926873,5.440648115806008
0.0941223,2.5567875599133063
0.0955573,3.447353160423411
0.0969923,4.449804902358091
0.0984273,5.9456453648757615
0.0998623,4.549851273028245
0.101297,4.070560782319349
0.102732,3.438703204851278
0.104167,1.959683938533141
0.105602,4.724964036475294
0.107037,5.48684426899418
0.108472,4.253212218877871
0.109907,3.9551262508288536
0.111342,2.75468005546455
0.112777,2.6429209407569756
0.114212,4.1126326160699
0.115647,4.434867542583989
0.117082,1.836319097968669
0.118517,3.688370525730795
0.119952,3.3136733961913256
0.121387,4.224379114534742
0.122822,1.9022374003967955
0.124257,1.796226381328984
0.125692,3.113043671217848
0.127127,3.667588047140943
0.128562,4.580464417426778
0.129997,2.5581844367017035
0.131432,2.0812521839979077
0.132867,1.751247515572845
0.134302,3.006356575668381
0.135737,4.9841483405748335
0.137172,2.095817208674406
0.138607,1.1004467649842302
0.140042,1.5468579622044512
0.141477,1.5466580384545914
0.142912,2.0568105025161545
0.144347,3.6616256186553007
0.145782,1.6587806009775088
0.147217,1.4633325677287903
0.148652,1.2220973291057393
0.150087,1.7470276805094245
0.151522,4.049696278024977
0.152957,2.506713860089982
0.154392,1.7074434910861294
0.155827,1.3492600176338025
0.157262,1.9216806653898384
0.158697,1.2312018893960308
0.160132,1.3417036019585686
0.161567,0.9564235008340044
0.163002,1.7777901262843274
0.164437,0.8295262745013943
0.165872,1.155426676955131
0.167307,1.5300678876428744
0.168742,0.556310957036291
0.170177,1.3356853233807706
0.171612,1.6609596949583807
0.173047,1.5371640914628666
0.174482,1.28515335461022
0.175917,0.31219012930058904
0.177352,2.9015515309864637
0.178787,0.8638583811295872
0.180222,1.090017423786949
0.181657,0.8193562963358134
0.183092,0.46738483613660536
0.184527,0.6111009364171421
0.185962,0.6368913251019335
0.187397,0.8372230757318275
0.188832,0.6458305086119425
0.190267,1.528533311893766
0.191702,0.8935144731262219
0.193137,1.1778530971338397
0.194572,0.646752461620761
0.196007,0.9984835191971645
0.197442,0.08447404030422495
0.198877,0.17043677442278857
0.200312,0.5005752443816337
0.201747,0.5647331096277597
0.203182,1.3721288246904983
0.204617,0.7077902743666279
0.206052,1.9586888242111573
0.207487,0.2395048480355712
0.208922,0.004817578310375954
0.210357,0.9458745153668173
0.211792,0.5234197805922483
0.213227,0.29567183082312676
0.214662,0.7183997517745861
0.216097,0.19469840111074393
0.217532,0.5574464849600129
0.218967,0.7130099138893825
0.220402,0.6115183187641675
0.221837,0.16654076660592773
0.223272,0.3789103532936462
0.224707,1.2794598954275576
0.226142,1.309003706287552
0.227577,0.2584962177862656
0.229012,1.345970253303322
0.230447,1.9026429801732514
0.231882,0.09358600314729937
0.233317,0.3011602537615658
0.234752,0.08643068184532843
0.236187,0.90459452231217
0.237622,1.5547048287396572
0.239057,0.8071028999500734
0.240492,3.6819065834532636
0.241927,0.5879764984811728
0.243362,0.9346836249683974
